категория;блюдо;состав;аллергены;цена_руб;вегетарианское
Завтраки;Каша овсяная на кокосовом молоке;овсяные хлопья, кокосовое молоко, свежие ягоды, мёд, семена чиа;глютен;650;да
Завтраки;Сырники со сметаной и ягодным соусом;творог, мука пшеничная, яйцо, сахар, сметана, ягодный соус;глютен, лактоза, яйцо;750;да
Завтраки;Омлет с трюфелем и пармезаном;яйца, сливки, трюфельная паста, пармезан, зелень;яйцо, лактоза;850;да
Завтраки;Авокадо-тост с яйцом пашот;хлеб на закваске, авокадо, яйцо, микрозелень, оливковое масло;глютен, яйцо;780;да
Завтраки;Блины со слабосолёным лососем;мука пшеничная, молоко, яйцо, лосось, сливочный сыр, укроп;глютен, лактоза, яйцо, рыба;950;нет
Завтраки;Гранола с йогуртом;гранола (овёс, миндаль, фундук, мёд), греческий йогурт, ягоды;глютен, орехи, лактоза;620;да
Закуски;Тартар из говядины;говядина, каперсы, лук-шалот, желток, дижонская горчица, гренки;яйцо, глютен, горчица;1200;нет
Закуски;Севиче из сибаса;сибас, лайм, красный лук, кинза, перец чили, оливковое масло;рыба;1100;нет
Закуски;Хумус с печёными овощами;нут, тахини, оливковое масло, паприка, сезонные овощи;кунжут;680;да
Закуски;Буррата с томатами;буррата, томаты, базилик, оливковое масло, бальзамик;лактоза;980;да
Закуски;Тартар из тунца с авокадо;тунец, авокадо, соус понзу, кунжут, зелёный лук;рыба, соя, кунжут;1250;нет
Салаты;Салат с киноа и авокадо;киноа, авокадо, шпинат, огурец, тыквенные семечки, лимонная заправка;нет;790;да
Салаты;Цезарь с курицей;романо, куриное филе, пармезан, гренки, соус цезарь (анчоусы, яйцо);глютен, лактоза, яйцо, рыба;890;нет
Салаты;Салат с камчатским крабом;краб, авокадо, огурец, салатные листья, цитрусовый майонез;ракообразные, яйцо;1650;нет
Салаты;Греческий салат;томаты, огурцы, фета, маслины, красный лук, орегано;лактоза;720;да
Салаты;Салат с печёной свёклой и козьим сыром;свёкла, козий сыр, грецкий орех, руккола, медовая заправка;лактоза, орехи;780;да
Супы;Том-ям с креветками;креветки, кокосовое молоко, грибы, лемонграсс, рыбный соус, чили;ракообразные, рыба;950;нет
Супы;Тыквенный крем-суп;тыква, сливки, тыквенные семечки, оливковое масло;лактоза;650;да
Супы;Куриный бульон с домашней лапшой;курица, лапша (мука, яйцо), морковь, зелень;глютен, яйцо;620;нет
Супы;Борщ с говядиной;свёкла, капуста, говядина, томаты, сметана;лактоза;690;нет
Горячее;Стейк рибай;говядина, сливочное масло, розмарин, чеснок, морская соль;лактоза;2900;нет
Горячее;Филе сибаса на гриле;сибас, оливковое масло, лимон, тимьян, шпинат;рыба;1750;нет
Горячее;Котлеты из индейки с пюре;индейка, панировочные сухари, картофель, молоко, сливочное масло;лактоза;980;нет
Горячее;Утиная грудка с полентой;утка, полента, пармезан, вишнёвый соус;лактоза;1550;нет
Горячее;Каре ягнёнка с овощами гриль;ягнёнок, цукини, баклажан, перец, розмарин;нет;2400;нет
Паста и ризотто;Ризотто с белыми грибами;рис арборио, белые грибы, пармезан, сливки, белое вино;лактоза;1150;да
Паста и ризотто;Паста карбонара;спагетти, гуанчиале, желток, пармезан, чёрный перец;глютен, яйцо, лактоза;990;нет
Паста и ризотто;Равиоли со шпинатом и рикоттой;паста (мука, яйцо), шпинат, рикотта, сливочный соус, пармезан;глютен, лактоза, яйцо;950;да
Азия;Ролл с лососем и авокадо;рис, нори, лосось, авокадо, кунжут, соевый соус;рыба, соя, кунжут;890;да
Азия;Ролл с угрём;рис, нори, угорь, огурец, кунжут, соус унаги (содержит глютен);рыба, соя, кунжут, глютен;950;нет
Азия;Поке с тунцом;рис, тунец, эдамаме, авокадо, манго, соус понзу, кунжут;рыба, соя, кунжут;1050;нет
Десерты;Чизкейк классический;сливочный сыр, печенье (мука), сливки, яйцо, ваниль;глютен, лактоза, яйцо;590;да
Десерты;Тирамису;маскарпоне, савоярди (мука, яйцо), эспрессо, какао;глютен, лактоза, яйцо;6500;да
Десерты;Сорбет манго-маракуйя;манго, маракуйя, сахар;нет;450;да
Десерты;Павлова с ягодами;безе (яичный белок, сахар), сливки, свежие ягоды;яйцо, лактоза;620;да
Десерты;Медовик;мука, мёд, яйцо, сметана, сливки;глютен, лактоза, яйцо;580;да
Напитки;Матча латте;чай матча, молоко (можно альтернативное);лактоза;450;да
Напитки;Раф лавандовый;эспрессо, сливки, лавандовый сироп;лактоза;480;да
Напитки;Смузи зелёный;шпинат, яблоко, сельдерей, огурец, лайм;нет;520;да
Напитки;Какао со сливками;какао, молоко, сливки, тёмный шоколад;лактоза;430;да
Салаты;Греческий салат;томаты, огурцы, фета, маслины, красный лук, орегано;лактоза;890;да
