месяц;канал;лиды;экскурсии_по_клубу;заявки;вступили
2025-09;рекомендации участников;33;22;9;7
2025-09;мероприятия клуба;47;15;6;3
2025-09;digital-реклама;88;15;4;1
2025-09;PR и медиа;25;3;0;0
2025-09;партнёрства;15;5;2;1
2025-10;рекомендации участников;30;18;9;4
2025-10;мероприятия клуба;38;14;3;1
2025-10;digital-реклама;100;18;4;1
2025-10;PR и медиа;18;2;0;0
2025-10;партнёрства;12;4;1;0
2025-11;рекомендации участников;36;18;9;6
2025-11;мероприятия клуба;52;22;12;6
2025-11;digital-реклама;102;18;6;2
2025-11;PR и медиа;24;4;1;0
2025-11;партнёрства;14;2;0;0
2025-12;рекомендации участников;28;20;10;6
2025-12;мероприятия клуба;35;12;4;2
2025-12;digital-реклама;131;18;4;2
2025-12;PR и медиа;28;6;2;1
2025-12;партнёрства;16;5;2;1
2026-01;рекомендации участников;18;11;5;3
2026-01;мероприятия клуба;34;11;4;2
2026-01;digital-реклама;83;5;1;0
2026-01;PR и медиа;18;3;1;0
2026-01;партнёрства;8;2;0;0
2026-02;рекомендации участников;25;14;6;4
2026-02;мероприятия клуба;33;7;3;1
2026-02;digital-реклама;80;11;1;0
2026-02;PR и медиа;22;5;1;0
2026-02;партнёрства;15;4;1;0
2026-03;рекомендации участников;27;19;9;6
2026-03;мероприятия клуба;40;14;6;2
2026-03;digital-реклама;93;10;2;0
2026-03;PR и медиа;22;3;0;0
2026-03;партнёрства;18;5;2;0
2026-04;рекомендации участников;16;8;4;3
2026-04;мероприятия клуба;39;11;4;1
2026-04;digital-реклама;71;7;1;0
2026-04;PR и медиа;21;3;1;0
2026-04;партнёрства;14;5;1;0
2026-05;рекомендации участников;23;14;7;5
2026-05;мероприятия клуба;46;14;4;1
2026-05;digital-реклама;93;7;2;0
2026-05;PR и медиа;19;4;1;0
2026-05;партнёрства;15;4;1;0
2026-06;рекомендации участников;28;17;9;6
2026-06;мероприятия клуба;44;16;6;2
2026-06;digital-реклама;84;10;1;0
2026-06;PR и медиа;23;3;0;0
2026-06;партнёрства;15;4;1;0
2026-07;рекомендации участников;17;10;5;3
2026-07;мероприятия клуба;29;10;4;2
2026-07;digital-реклама;75;9;2;0
2026-07;PR и медиа;17;3;1;0
2026-07;партнёрства;8;1;0;0
2026-08;рекомендации участников;22;12;6;4
2026-08;мероприятия клуба;24;8;3;1
2026-08;digital-реклама;51;8;2;0
2026-08;PR и медиа;15;3;1;0
2026-08;партнёрства;14;4;1;0
