id_участника;тип_членства;куратор;месяцев_в_клубе;визитов_в_месяц;мероприятий_за_квартал;гостей_за_квартал;connects_за_квартал;завтраков_за_квартал;открываемость_рассылок_pct;дней_до_окончания;статус
M-001;корпоративное;куратор_1;37;4,8;3;1;1;1;30;;продлил
M-002;индивидуальное;куратор_5;5;3,1;2;0;3;0;28;;не продлил
M-003;семейное;куратор_2;39;9,0;6;2;3;1;78;;продлил
M-004;семейное;куратор_2;36;6,7;5;1;5;3;72;;продлил
M-005;корпоративное;куратор_3;54;3,4;5;3;3;1;50;;не продлил
M-006;корпоративное;куратор_1;25;7,5;5;4;5;2;64;;продлил
M-007;индивидуальное;куратор_2;30;4,9;1;0;3;3;21;;продлил
M-008;индивидуальное;куратор_4;19;3,2;3;0;1;0;32;;не продлил
M-009;индивидуальное;куратор_1;9;6,5;5;4;8;1;69;;продлил
M-010;корпоративное;куратор_4;27;9,1;6;2;6;3;82;;не продлил
M-011;индивидуальное;куратор_5;19;5,4;5;2;4;3;63;;продлил
M-012;индивидуальное;куратор_2;36;6,4;5;2;2;2;52;;продлил
M-013;семейное;куратор_3;25;7,7;1;3;3;2;80;;продлил
M-014;индивидуальное;куратор_4;33;0;0;1;0;0;5;;продлил
M-015;индивидуальное;куратор_2;53;6,5;4;4;3;0;61;;продлил
M-016;индивидуальное;куратор_5;41;6,8;2;0;4;1;40;;не продлил
M-017;корпоративное;куратор_5;37;1,2;1;1;0;0;19;;не продлил
M-018;семейное;куратор_5;52;2,5;1;1;0;0;23;;не продлил
M-019;корпоративное;куратор_3;6;3,4;3;1;0;0;24;;не продлил
M-020;индивидуальное;куратор_4;31;2,9;3;1;3;0;45;;не продлил
M-021;семейное;куратор_2;18;1,9;2;0;2;1;5;;не продлил
M-022;семейное;куратор_4;9;2,3;3;3;2;1;38;;не продлил
M-023;индивидуальное;куратор_1;4;1,5;3;0;5;2;35;;продлил
M-024;корпоративное;куратор_3;11;3,4;0;0;0;0;23;;не продлил
M-025;корпоративное;куратор_3;43;9,7;6;2;4;2;78;;продлил
M-026;индивидуальное;куратор_3;13;4,4;4;3;1;0;36;;продлил
M-027;индивидуальное;куратор_2;31;10,2;7;1;5;2;61;;продлил
M-028;индивидуальное;куратор_1;28;7,2;1;1;1;0;13;;не продлил
M-029;семейное;куратор_2;41;6,0;5;1;3;1;52;;не продлил
M-030;индивидуальное;куратор_2;24;1,1;2;0;1;0;19;;продлил
M-031;семейное;куратор_4;17;12,0;8;3;4;3;65;;продлил
M-032;индивидуальное;куратор_5;56;1,7;0;0;2;0;16;;не продлил
M-033;индивидуальное;куратор_5;27;7,1;2;1;2;1;43;;продлил
M-034;корпоративное;куратор_3;57;5,1;6;2;5;2;43;;продлил
M-035;индивидуальное;куратор_2;12;4,8;6;1;1;2;56;;продлил
M-036;индивидуальное;куратор_5;32;6,5;0;1;3;2;55;;продлил
M-037;корпоративное;куратор_4;36;3,1;3;0;0;0;30;;не продлил
M-038;индивидуальное;куратор_1;29;4,2;4;2;2;1;26;;продлил
M-039;корпоративное;куратор_5;20;5,8;2;3;3;1;39;;не продлил
M-040;корпоративное;куратор_4;4;3,1;0;3;0;0;15;;продлил
M-041;корпоративное;куратор_1;21;6,9;7;3;4;1;59;;продлил
M-042;индивидуальное;куратор_3;34;3,0;2;0;4;0;43;;продлил
M-043;индивидуальное;куратор_4;15;8,0;2;1;4;0;50;;продлил
M-044;семейное;куратор_1;43;7,1;1;4;5;0;61;;продлил
M-045;индивидуальное;куратор_2;40;0,8;1;3;0;0;10;;не продлил
M-046;индивидуальное;куратор_3;49;1,1;0;1;0;0;16;;продлил
M-047;индивидуальное;куратор_4;15;5,5;5;2;3;1;62;;не продлил
M-048;семейное;куратор_2;44;8,8;6;1;5;1;78;;продлил
M-049;индивидуальное;куратор_2;28;4,5;5;1;0;1;51;;продлил
M-050;индивидуальное;куратор_4;60;4,3;4;0;0;1;41;;продлил
M-051;корпоративное;куратор_3;8;3,2;0;1;4;0;14;;не продлил
M-052;индивидуальное;куратор_4;59;8,2;6;2;4;2;33;;продлил
M-053;индивидуальное;куратор_1;50;3,6;2;0;3;1;26;;продлил
M-054;индивидуальное;куратор_1;42;7,3;4;0;0;0;53;;не продлил
M-055;индивидуальное;куратор_5;30;4,9;2;1;2;2;35;;не продлил
M-056;семейное;куратор_2;41;4,4;2;1;1;1;31;;не продлил
M-057;индивидуальное;куратор_3;31;2,4;2;0;1;0;27;;не продлил
M-058;семейное;куратор_2;15;3,6;3;1;3;1;35;;продлил
M-059;индивидуальное;куратор_1;5;4,4;3;2;0;1;24;;продлил
M-060;семейное;куратор_2;26;1,7;1;0;0;0;21;;не продлил
M-061;семейное;куратор_1;5;3,0;2;1;3;0;51;;продлил
M-062;семейное;куратор_3;9;3,5;0;1;3;0;17;;продлил
M-063;индивидуальное;куратор_4;29;0,5;3;2;1;1;38;;продлил
M-064;индивидуальное;куратор_3;35;5,2;4;2;3;2;42;;не продлил
M-065;индивидуальное;куратор_4;27;8,4;5;1;0;0;41;;не продлил
M-066;индивидуальное;куратор_3;27;2,9;3;3;1;1;45;;не продлил
M-067;индивидуальное;куратор_5;22;1,4;0;0;2;0;25;;продлил
M-068;индивидуальное;куратор_1;54;2,0;2;1;2;1;27;;не продлил
M-069;индивидуальное;куратор_2;35;6,5;4;3;1;1;35;;продлил
M-070;семейное;куратор_4;53;5,0;4;1;1;0;41;;продлил
M-071;семейное;куратор_1;23;3,2;3;0;3;1;40;;продлил
M-072;семейное;куратор_5;47;8,1;4;4;4;0;73;;продлил
M-073;семейное;куратор_1;42;5,9;3;2;2;0;32;;не продлил
M-074;семейное;куратор_3;29;4,4;5;3;5;2;63;;продлил
M-075;корпоративное;куратор_1;40;4,7;3;1;1;2;33;;не продлил
M-076;корпоративное;куратор_2;54;1,2;1;0;0;0;19;;не продлил
M-077;семейное;куратор_1;15;3,1;2;0;0;0;9;;продлил
M-078;индивидуальное;куратор_3;48;0,1;0;0;2;1;18;;продлил
M-079;индивидуальное;куратор_1;48;5,0;2;0;0;3;14;;продлил
M-080;корпоративное;куратор_4;50;3,1;1;0;2;0;30;;не продлил
M-081;индивидуальное;куратор_3;22;6,3;2;1;2;1;52;;продлил
M-082;индивидуальное;куратор_2;15;1,6;0;0;0;1;3;;не продлил
M-083;индивидуальное;куратор_3;54;7,6;4;3;2;1;65;;не продлил
M-084;индивидуальное;куратор_4;21;11,0;6;5;3;1;67;;продлил
M-085;индивидуальное;куратор_3;6;2,3;2;1;1;1;23;;продлил
M-086;индивидуальное;куратор_3;34;8,8;4;5;5;4;80;;продлил
M-087;корпоративное;куратор_1;43;8,4;4;4;4;3;74;;продлил
M-088;индивидуальное;куратор_3;30;6,7;2;0;5;1;53;;не продлил
M-089;индивидуальное;куратор_3;32;2,8;4;1;2;0;47;;продлил
M-090;индивидуальное;куратор_1;23;5,1;3;2;7;1;72;;не продлил
M-091;корпоративное;куратор_4;22;4,6;4;1;2;1;54;;продлил
M-092;корпоративное;куратор_2;12;5,3;6;3;3;2;35;;не продлил
M-093;индивидуальное;куратор_3;14;4,5;2;1;5;2;51;;не продлил
M-094;индивидуальное;куратор_2;58;1,8;2;0;0;0;9;;продлил
M-095;корпоративное;куратор_4;57;6,2;4;2;2;1;55;;продлил
M-096;корпоративное;куратор_3;10;3,5;0;0;1;0;33;;продлил
M-097;индивидуальное;куратор_4;36;11,3;3;3;3;3;71;;продлил
M-098;индивидуальное;куратор_3;53;5,5;1;1;4;2;51;;продлил
M-099;семейное;куратор_2;54;6,1;5;2;5;0;58;;не продлил
M-100;индивидуальное;куратор_2;43;1,7;1;1;2;0;41;;не продлил
M-101;семейное;куратор_2;53;6,5;5;2;1;4;81;;продлил
M-102;корпоративное;куратор_2;45;9,4;4;3;5;3;75;;продлил
M-103;корпоративное;куратор_1;50;10,9;5;1;5;1;55;;продлил
M-104;индивидуальное;куратор_3;24;7,3;4;0;4;2;64;;продлил
M-105;корпоративное;куратор_4;38;3,0;0;0;2;0;19;;продлил
M-106;корпоративное;куратор_5;10;5,3;5;1;5;0;40;;продлил
M-107;индивидуальное;куратор_2;52;1,8;0;2;0;0;20;;не продлил
M-108;семейное;куратор_5;45;1,2;1;0;0;0;3;;не продлил
M-109;корпоративное;куратор_4;40;9,9;6;3;5;4;89;;продлил
M-110;индивидуальное;куратор_4;45;3,2;0;0;1;0;8;;продлил
M-111;индивидуальное;куратор_3;8;1,4;1;0;0;0;6;;не продлил
M-112;индивидуальное;куратор_1;8;3,7;4;0;2;2;24;;продлил
M-113;корпоративное;куратор_4;27;0,2;3;1;3;0;10;;не продлил
M-114;семейное;куратор_3;44;5,5;5;0;2;0;36;;не продлил
M-115;индивидуальное;куратор_4;41;1,9;3;3;1;0;20;;не продлил
M-116;индивидуальное;куратор_3;23;4,5;4;0;1;1;37;;не продлил
M-117;корпоративное;куратор_4;37;2,7;2;2;5;2;42;;не продлил
M-118;корпоративное;куратор_5;37;7,8;2;2;6;3;48;;продлил
M-119;корпоративное;куратор_3;47;6,9;7;1;6;2;58;;не продлил
M-120;семейное;куратор_3;20;5,6;4;5;4;2;43;;продлил
M-121;семейное;куратор_4;11;3,0;2;1;2;1;26;290;активен
M-122;корпоративное;куратор_2;43;1,6;1;1;1;0;14;347;активен
M-123;индивидуальное;куратор_1;60;5,9;4;3;3;0;51;252;активен
M-124;индивидуальное;куратор_2;51;2,7;1;0;3;0;36;230;активен
M-125;корпоративное;куратор_1;54;11,4;6;3;8;3;56;76;активен
M-126;индивидуальное;куратор_2;50;6,3;3;1;2;1;30;215;активен
M-127;индивидуальное;куратор_5;19;0,4;1;1;0;0;13;347;активен
M-128;индивидуальное;куратор_3;26;5,3;4;2;4;1;59;88;активен
M-129;индивидуальное;куратор_3;35;3,0;2;1;0;1;32;214;активен
M-130;индивидуальное;куратор_2;48;8,3;6;4;1;2;49;94;активен
M-131;семейное;куратор_3;15;5,9;2;0;1;2;25;182;активен
M-132;семейное;куратор_5;51;4,3;5;2;5;2;55;88;активен
M-133;семейное;куратор_1;48;5,1;6;3;1;2;34;36;активен
M-134;индивидуальное;куратор_3;8;5,0;4;2;3;1;39;54;активен
M-135;семейное;куратор_1;47;0;1;0;0;0;15;304;активен
M-136;корпоративное;куратор_4;58;5,1;5;0;3;1;40;330;активен
M-137;корпоративное;куратор_5;6;9,2;4;3;6;0;84;169;активен
M-138;индивидуальное;куратор_4;43;3,4;1;1;2;1;33;120;активен
M-139;корпоративное;куратор_2;46;4,7;2;2;3;2;55;11;активен
M-140;корпоративное;куратор_5;35;7,1;4;0;2;0;59;155;активен
M-141;семейное;куратор_5;56;4,7;5;2;5;1;56;285;активен
M-142;семейное;куратор_5;15;7,3;6;3;5;1;87;127;активен
M-143;индивидуальное;куратор_4;25;3,2;2;0;3;1;27;120;активен
M-144;индивидуальное;куратор_4;57;2,6;4;3;3;3;13;142;активен
