id;поступило;канал;категория;сотрудник;время_первого_ответа_мин;время_решения_мин;норматив_sla_мин;нарушен_sla;оценка_csat
REQ-0001;2026-08-28 17:06;почта;благодарность;Оператор Б;163;786;240;нет;3
REQ-0002;2026-08-10 11:41;MAX;гости;Оператор А;9;36;30;нет;3
REQ-0003;2026-07-20 09:29;Telegram;гости;Оператор А;18;83;30;нет;
REQ-0004;2026-08-15 18:17;MAX;биллинг;Оператор Б;45;80;60;нет;4
REQ-0005;2026-08-18 10:06;Telegram;навигация;Оператор Б;14;58;30;нет;5
REQ-0006;2026-07-13 10:24;лично;бронирования;Оператор А;20;131;30;нет;
REQ-0007;2026-08-14 10:26;лично;биллинг;Оператор В;56;190;60;нет;
REQ-0008;2026-06-05 12:32;Telegram;гости;Оператор А;7;59;30;нет;5
REQ-0009;2026-07-24 21:17;почта;членство;Оператор Г;266;529;120;да;
REQ-0010;2026-07-01 12:00;почта;членство;Оператор А;83;280;120;нет;
REQ-0011;2026-08-27 13:38;Telegram;мероприятия;Оператор А;51;183;60;нет;
REQ-0012;2026-08-12 18:40;Telegram;благодарность;Оператор Г;435;682;240;да;
REQ-0013;2026-07-10 12:24;лично;биллинг;Оператор Б;100;260;60;да;2
REQ-0014;2026-08-20 10:47;Telegram;мероприятия;Оператор А;48;183;60;нет;
REQ-0015;2026-08-09 15:30;Telegram;благодарность;Оператор Б;295;371;240;да;
REQ-0016;2026-08-21 18:17;Telegram;гости;Оператор Б;21;55;30;нет;
REQ-0017;2026-08-15 12:08;Telegram;бронирования;Оператор Б;14;95;30;нет;5
REQ-0018;2026-08-11 19:19;MAX;членство;Оператор А;99;216;120;нет;
REQ-0019;2026-06-01 18:34;почта;гости;Оператор А;15;33;30;нет;5
REQ-0020;2026-08-24 09:54;Telegram;членство;Оператор В;98;347;120;нет;
REQ-0021;2026-08-26 09:05;MAX;благодарность;Оператор А;86;279;240;нет;4
REQ-0022;2026-06-21 10:53;почта;навигация;Оператор В;6;82;30;нет;5
REQ-0023;2026-08-03 17:39;Telegram;бронирования;Оператор А;10;57;30;нет;4
REQ-0024;2026-08-09 09:57;Telegram;жалоба;Оператор Б;14;40;30;нет;
REQ-0025;2026-08-22 16:48;Telegram;благодарность;Оператор В;90;552;240;нет;3
REQ-0026;2026-07-07 15:57;MAX;биллинг;Оператор В;77;198;60;да;
REQ-0027;2026-06-23 10:26;Telegram;навигация;Оператор А;10;62;30;нет;
REQ-0028;2026-08-21 17:53;лично;благодарность;Оператор В;105;110;240;нет;5
REQ-0029;2026-06-09 18:08;лично;бронирования;Оператор В;10;43;30;нет;5
REQ-0030;2026-08-15 12:06;Telegram;бронирования;Оператор Б;19;24;30;нет;5
REQ-0031;2026-08-21 19:00;Telegram;жалоба;Оператор Б;19;96;30;нет;
REQ-0032;2026-08-18 20:39;Telegram;бронирования;Оператор Б;15;87;30;нет;4
REQ-0033;2026-07-13 21:29;Telegram;биллинг;Оператор Г;365;415;60;да;
REQ-0034;2026-07-21 09:46;MAX;мероприятия;Оператор В;9;118;60;нет;
REQ-0035;2026-06-07 12:58;Telegram;мероприятия;Оператор В;4;69;60;нет;
REQ-0036;2026-06-12 17:58;Telegram;гости;Оператор Г;34;105;30;да;
REQ-0037;2026-06-07 21:09;почта;гости;Оператор А;19;87;30;нет;5
REQ-0038;2026-08-24 17:35;почта;благодарность;Оператор А;135;237;240;нет;2
REQ-0039;2026-07-17 17:09;Telegram;навигация;Оператор Г;94;122;30;да;4
REQ-0040;2026-08-17 13:02;Telegram;благодарность;Оператор Г;162;458;240;нет;5
REQ-0041;2026-08-13 17:51;почта;гости;Оператор А;15;49;30;нет;5
REQ-0042;2026-08-09 12:33;почта;благодарность;Оператор Б;56;852;240;нет;1
REQ-0043;2026-08-04 12:12;MAX;мероприятия;Оператор А;40;115;60;нет;5
REQ-0044;2026-07-08 09:54;Telegram;навигация;Оператор В;16;96;30;нет;4
REQ-0045;2026-08-20 13:34;лично;биллинг;Оператор Г;359;461;60;да;2
REQ-0046;2026-07-28 19:47;MAX;биллинг;Оператор Б;102;125;60;да;4
REQ-0047;2026-08-06 14:56;Telegram;жалоба;Оператор Б;17;42;30;нет;
REQ-0048;2026-07-05 20:50;Telegram;гости;Оператор Г;85;162;30;да;
REQ-0049;2026-07-07 15:45;Telegram;бронирования;Оператор Б;9;41;30;нет;5
REQ-0050;2026-08-21 21:48;MAX;жалоба;Оператор Б;19;31;30;нет;
REQ-0051;2026-08-20 17:59;Telegram;благодарность;Оператор Б;149;657;240;нет;1
REQ-0052;2026-06-19 09:27;лично;членство;Оператор Г;230;435;120;да;
REQ-0053;2026-08-12 15:29;MAX;биллинг;Оператор В;128;225;60;да;4
REQ-0054;2026-08-24 14:05;Telegram;мероприятия;Оператор Б;57;206;60;нет;
REQ-0055;2026-08-19 18:49;MAX;биллинг;Оператор В;82;128;60;да;2
REQ-0056;2026-07-27 15:46;Telegram;членство;Оператор В;72;77;120;нет;
