месяц;активность;затраты_руб;лиды;экскурсии;заявки;вступили
2025-09;мероприятие клуба;187128;34;6;1;0
2025-09;digital-реклама;287923;121;47;17;10
2025-09;PR-публикация;130532;24;11;6;4
2025-09;партнёрская рассылка;49385;25;6;3;1
2025-09;рекомендации участников;0;39;10;3;1
2025-10;мероприятие клуба;193903;44;16;5;2
2025-10;PR-публикация;175519;26;6;2;1
2025-10;рекомендации участников;0;23;7;3;2
2025-10;офлайн-мероприятие партнёра;223696;35;8;3;1
2025-11;мероприятие клуба;177748;45;7;2;1
2025-11;digital-реклама;435039;103;21;10;6
2025-12;мероприятие клуба;193096;34;10;3;1
2025-12;партнёрская рассылка;70321;23;4;1;0
2025-12;рекомендации участников;0;20;3;1;0
2025-12;офлайн-мероприятие партнёра;258654;19;8;4;1
2026-01;мероприятие клуба;148560;29;12;5;3
2026-01;digital-реклама;432597;30;12;6;4
2026-01;PR-публикация;161632;21;3;1;0
2026-01;партнёрская рассылка;49767;25;7;2;0
2026-01;рекомендации участников;0;25;10;5;2
2026-01;офлайн-мероприятие партнёра;232410;36;10;3;1
2026-02;партнёрская рассылка;51705;33;14;6;3
2026-02;рекомендации участников;0;30;13;6;3
2026-02;офлайн-мероприятие партнёра;180757;39;8;3;1
2026-03;мероприятие клуба;147770;34;11;4;2
2026-03;офлайн-мероприятие партнёра;262249;32;6;1;0
2026-04;digital-реклама;324095;115;41;15;9
2026-04;PR-публикация;178685;20;7;3;1
2026-04;партнёрская рассылка;65464;25;6;2;0
2026-04;рекомендации участников;0;25;5;1;0
2026-05;мероприятие клуба;219535;38;16;8;5
2026-05;digital-реклама;427300;106;38;18;8
2026-05;PR-публикация;163334;21;9;4;1
2026-05;рекомендации участников;0;26;7;3;1
2026-05;офлайн-мероприятие партнёра;243137;28;9;4;1
2026-06;digital-реклама;419636;75;36;13;7
2026-06;PR-публикация;173269;21;3;1;0
2026-07;мероприятие клуба;157929;29;10;4;2
2026-07;digital-реклама;353074;51;19;6;3
2026-07;PR-публикация;185791;14;5;2;1
2026-07;партнёрская рассылка;67833;16;6;2;1
2026-07;рекомендации участников;0;23;7;4;2
2026-07;офлайн-мероприятие партнёра;234534;25;10;4;2
2026-08;мероприятие клуба;204106;28;10;4;2
2026-08;digital-реклама;386309;55;21;8;5
2026-08;PR-публикация;131228;16;5;2;0
2026-08;партнёрская рассылка;52592;25;8;4;1
2026-08;рекомендации участников;0;27;4;2;1
2026-08;офлайн-мероприятие партнёра;192210;19;5;2;1
2026-05;эксперимент: наружная реклама;900000;11;2;1;0
2026-03;рекомендации участников;0;52;31;19;14
