id_участника;интересы;посещено_выходов_за_год
M-001;архитектура, классическая музыка, литература;0
M-002;театр, джаз, современное искусство;1
M-003;литература, архитектура, вино и гастрономия;2
M-004;современное искусство, джаз, классическая музыка;6
M-005;классическая музыка, кино, вино и гастрономия;9
M-006;вино и гастрономия;1
M-007;вино и гастрономия;7
M-008;театр, вино и гастрономия, классическая музыка;9
M-009;литература;7
M-010;архитектура, современное искусство;5
M-011;архитектура, классическая музыка, джаз;7
M-012;кино;0
M-013;театр, джаз, классическая музыка;8
M-014;современное искусство;9
M-015;литература, театр;5
M-016;джаз, литература;7
M-017;литература, современное искусство;8
M-018;джаз;9
M-019;вино и гастрономия;9
M-020;литература, джаз;6
M-021;театр, кино;7
M-022;архитектура;8
M-023;классическая музыка, литература, театр;8
M-024;вино и гастрономия, театр, кино;0
M-025;вино и гастрономия, классическая музыка, архитектура;0
M-026;классическая музыка, вино и гастрономия;3
M-027;театр, литература;9
M-028;литература, кино, современное искусство;7
M-029;классическая музыка;8
M-030;вино и гастрономия;3
M-031;вино и гастрономия;4
M-032;классическая музыка, литература;2
M-033;театр, кино;0
M-034;джаз, классическая музыка, кино;6
M-035;классическая музыка, театр;8
M-036;архитектура, театр;4
M-037;современное искусство, кино, литература;9
M-038;современное искусство;2
M-039;архитектура, современное искусство, театр;9
M-040;современное искусство;5
M-041;современное искусство, кино, театр;6
M-042;современное искусство, литература;3
M-043;современное искусство, литература;6
M-044;джаз, вино и гастрономия, литература;0
M-045;кино;0
M-046;классическая музыка, джаз, кино;3
M-047;архитектура, современное искусство;1
M-048;современное искусство, классическая музыка;1
M-049;современное искусство, архитектура, кино;9
M-050;вино и гастрономия, театр;7
M-051;вино и гастрономия, современное искусство;5
M-052;вино и гастрономия, современное искусство, классическая музыка;7
M-053;кино, литература;0
M-054;вино и гастрономия, архитектура;8
M-055;джаз, современное искусство, кино;7
M-056;архитектура;5
M-057;архитектура, вино и гастрономия, театр;5
M-058;классическая музыка;1
M-059;архитектура, джаз, театр;4
M-060;джаз, кино;0
M-061;вино и гастрономия, джаз;0
M-062;театр;9
M-063;современное искусство, джаз, архитектура;7
M-064;современное искусство, классическая музыка, вино и гастрономия;3
M-065;классическая музыка, архитектура, джаз;4
M-066;вино и гастрономия, архитектура;4
M-067;литература;4
M-068;джаз, архитектура;8
M-069;литература, вино и гастрономия, кино;8
M-070;архитектура, литература, классическая музыка;5
M-071;архитектура;5
M-072;классическая музыка, современное искусство, литература;1
M-073;литература, вино и гастрономия, архитектура;8
M-074;кино, классическая музыка;5
M-075;джаз;1
M-076;кино, классическая музыка;9
M-077;литература;4
M-078;джаз, вино и гастрономия;1
M-079;вино и гастрономия, театр;4
M-080;кино;1
M-081;современное искусство, кино, театр;1
M-082;классическая музыка, кино;8
M-083;современное искусство, классическая музыка;1
M-084;современное искусство, литература, вино и гастрономия;7
M-085;классическая музыка, архитектура, современное искусство;9
M-086;литература;6
M-087;архитектура, кино;9
M-088;литература;1
M-089;современное искусство;1
M-090;литература, современное искусство;3
M-091;джаз, вино и гастрономия, современное искусство;5
M-092;кино;0
M-093;вино и гастрономия, литература, кино;1
M-094;литература;5
M-095;вино и гастрономия;3
M-096;вино и гастрономия, современное искусство;0
M-097;кино, театр, классическая музыка;2
M-098;джаз, вино и гастрономия;9
M-099;литература, кино;0
M-100;вино и гастрономия, современное искусство;2
M-101;архитектура, кино;0
M-102;литература;3
M-103;литература, театр, кино;7
M-104;классическая музыка;7
M-105;архитектура;2
M-106;джаз, театр, архитектура;3
M-107;театр;8
M-108;классическая музыка, литература, вино и гастрономия;3
M-109;архитектура, вино и гастрономия;3
M-110;джаз, вино и гастрономия;1
M-111;театр, классическая музыка;9
M-112;современное искусство, кино;2
M-113;классическая музыка, джаз;8
M-114;театр, джаз, литература;6
M-115;классическая музыка, вино и гастрономия;1
M-116;вино и гастрономия;0
M-117;вино и гастрономия;9
M-118;кино, современное искусство;7
M-119;вино и гастрономия;7
M-120;кино, литература;1
