id;дата;тип;площадка;мест;записалось;пришло;стоимость_на_человека_руб;средняя_оценка
EV-001;2026-05-11;театр;Электротеатр;20;12;12;15000;4.1
EV-002;2026-08-08;театр;МХТ;15;9;9;12000;4.6
EV-003;2026-03-08;экскурсия;Закрытая коллекция;20;16;14;12000;4.1
EV-004;2026-05-13;концерт;Консерватория;12;6;6;12000;3.1
EV-005;2026-04-05;экскурсия;Закрытая коллекция;15;11;11;6000;3.9
EV-006;2026-05-01;выставка;Пушкинский;12;8;5;4000;3.6
EV-007;2026-01-13;выставка;Гараж;8;4;2;4000;4.7
EV-008;2026-02-02;концерт;Консерватория;15;10;8;15000;3.9
EV-009;2026-08-08;выставка;Гараж;12;4;4;25000;5.0
EV-010;2026-02-20;выставка;Третьяковка;15;15;14;12000;4.3
EV-011;2026-05-25;выставка;Пушкинский;10;10;10;12000;4.3
EV-012;2026-05-03;театр;Театр наций;10;5;2;12000;4.6
EV-013;2026-08-11;театр;Большой театр;8;8;8;15000;5.0
EV-014;2026-04-23;выставка;Гараж;25;19;17;15000;4.1
EV-015;2026-04-06;экскурсия;Мастерская художника;10;5;5;4000;4.5
EV-016;2026-08-09;концерт;Консерватория;8;5;2;12000;5.0
EV-017;2026-07-11;театр;Электротеатр;15;8;8;12000;3.9
EV-018;2026-03-15;театр;Театр наций;15;5;5;8000;4.9
EV-019;2026-07-17;концерт;Консерватория;8;6;6;15000;3.8
EV-020;2026-07-20;концерт;Дом музыки;25;18;18;12000;3.9
EV-021;2026-04-28;экскурсия;Архитектурная прогулка;25;15;15;15000;4.3
EV-022;2026-08-22;выставка;Пушкинский;10;6;4;8000;4.4
EV-023;2026-04-15;выставка;Пушкинский;20;15;14;4000;4.3
EV-024;2026-08-15;театр;МХТ;20;15;15;6000;4.6
EV-025;2026-06-07;экскурсия;Мастерская художника;25;19;18;25000;4.0
EV-026;2026-03-18;театр;МХТ;20;15;15;25000;4.3
EV-027;2026-01-05;экскурсия;Мастерская художника;12;12;12;6000;4.8
EV-028;2026-01-25;концерт;Консерватория;12;12;12;4000;3.9
EV-029;2026-05-14;экскурсия;Закрытая коллекция;25;20;20;25000;4.3
EV-030;2026-03-03;выставка;Гараж;12;11;11;8000;4.1
EV-031;2026-03-17;театр;Театр наций;8;2;1;6000;4.7
EV-032;2026-03-15;театр;Электротеатр;10;8;8;25000;4.3
EV-033;2026-07-24;концерт;Зарядье;20;19;18;25000;4.3
EV-034;2026-06-22;театр;МХТ;20;11;11;15000;5.0
EV-035;2026-03-28;экскурсия;Архитектурная прогулка;12;11;11;6000;4.7
EV-036;2026-07-05;концерт;Консерватория;20;12;12;12000;4.9
EV-037;2026-07-27;концерт;Зарядье;8;7;7;25000;3.8
EV-038;2026-04-07;выставка;ГЭС-2;25;17;17;25000;4.7
EV-039;2026-06-13;экскурсия;Мастерская художника;15;9;9;25000;4.7
EV-040;2026-05-26;выставка;ГЭС-2;12;10;10;6000;4.7
EV-041;2026-05-13;концерт;Консерватория;25;22;22;6000;4.9
EV-042;2026-07-20;экскурсия;Закрытая коллекция;10;4;3;4000;4.9
EV-043;2026-01-21;концерт;Зарядье;15;11;11;12000;5.0
EV-044;2026-08-08;театр;МХТ;25;19;19;25000;4.1
EV-045;2026-02-27;концерт;Дом музыки;12;6;4;8000;4.2
EV-046;2026-01-21;концерт;Дом музыки;25;20;19;25000;4.2
EV-047;2026-01-22;выставка;Гараж;12;3;3;12000;4.4
EV-048;2026-05-14;выставка;Пушкинский;25;20;20;15000;4.7
EV-049;2026-06-11;театр;Премьера в Большом;20;20;7;25000;4.8
EV-050;2026-04-03;экскурсия;Винный ужин;12;11;11;18000;3.2
